review,sentiment
"Phil the Alien is one of those quirky film where the humour is based around the oddness of everything rather than actual punchlines . At first it wa very odd and pretty funny but a the movie progressed I did n't find the joke or oddness funny anymore . Its a low budget film ( thats never a problem in itself ) , there were some pretty interesting character , but eventually I just lost interest . I imagine this film would appeal to a stoner who is currently partaking . For something similar but better try `` Brother from another planet ''",0
"I saw this movie when I wa about 12 when it came out . I recall the scariest scene wa the big bird eating men dangling helplessly from parachute right out of the air . The horror . The horror . As a young kid going to these cheesy B film on Saturday afternoon , I still wa tired of the formula for these monster type movie that usually included the hero , a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end . I did n't care much for the romantic angle a a 12 year old and the predictable plot . I love them now for the unintentional humor . But , about a year or so later , I saw Psycho when it came out and I loved that the star , Janet Leigh , wa bumped off early in the film . I sat up and took notice at that point . Since screenwriter are making up the story , make it up to be a scary a possible and not from a well-worn formula . There are no rule .",0
"So im not a big fan of Boll 's work but then again not many are . I enjoyed his movie Postal ( maybe im the only one ) . Boll apparently bought the right to use Far Cry long ago even before the game itself wa even finsished . People who have enjoyed killing mercs and infiltrating secret research lab located on a tropical island should be warned , that this is not Far Cry ... This is something Mr Boll have schemed together along with his legion of schmuck .. Feeling loneley on the set Mr Boll invite three of his countryman to play with . These player go by the name of Til Schweiger , Udo Kier and Ralf Moeller . Three name that actually have made them self pretty big in the movie biz . So the tale go like this , Jack Carver played by Til Schweiger ( yes Carver is German all hail the bratwurst eating dude ! ! ) However I find that Tils acting in this movie is pretty badass .. People have complained about how he 's not really staying true to the whole Carver agenda but we only saw carver in a first person perspective so we do n't really know what he looked like when he wa kicking a * * .. However , the storyline in this film is beyond demented . We see the evil mad scientist Dr. Krieger played by Udo Kier , making Genetically-Mutated-soldiers or GMS a they are called . Performing his top-secret research on an island that reminds me of `` SPOILER '' Vancouver for some reason . Thats right no palm tree here . Instead we got some nice rich lumberjack-woods . We have n't even gone FAR before I started to CRY ( mehehe ) I can not go on any more .. If you wan na stay true to Bolls shenanigan then go and see this movie you will not be disappointed it delivers the true Boll experience , meaning most of it will suck . There are some thing worth mentioning that would imply that Boll did a good work on some area of the film such a some nice boat and fighting scene . Until the whole cromed/albino GMS squad enters the scene and everything just make me laugh .. The movie Far Cry reek of scheisse ( that 's poop for you simpleton ) from a fa , r if you wan na take a wiff go ahead .. BTW Carver get a very annoying sidekick who make you wan na shoot him the first three minute he 's on screen .",0
"The cast played Shakespeare . Shakespeare lost . I appreciate that this is trying to bring Shakespeare to the mass , but why ruin something so good . Is it because 'The Scottish Play ' is my favorite Shakespeare ? I do not know . What I do know is that a certain Rev Bowdler ( hence bowdlerization ) tried to do something similar in the Victorian era . In other word , you can not improve perfection . I have no more to write but a I have to write at least ten line of text ( and English composition wa never my forte I will just have to keep going and say that this movie , a the saying go , just doe not cut it .",0
This a fantastic movie of three prisoner who become famous . One of the actor is george clooney and I 'm not a fan but this roll is not bad . Another good thing about the movie is the soundtrack ( The man of constant sorrow ) . I recommand this movie to everybody . Greetings Bart,1
"Kind of drawn in by the erotic scene , only to realize this wa one of the most amateurish and unbelievable bit of film I 've ever seen . Sort of like a high school film project . What wa Rosanna Arquette thinking ? ? And what wa with all those stock character in that bizarre supposed Midwest town ? Pretty hard to get involved with this one . No lesson to be learned from it , no brilliant insight , just stilted and quite ridiculous ( but lot of skin , if that intrigue you ) videotaped nonsense .... What wa with the bisexual relationship , out of nowhere , after all the heterosexual encounter . And what wa with that absurd dance , with everybody playing their stereotyped role ? Give this one a pas , it 's like a million other mile of bad , wasted film , money that could have been spent on starving child or Aids in Africa .....",0
"Some film just simply should not be remade . This is one of them . In and of itself it is not a bad film . But it fails to capture the flavor and the terror of the 1963 film of the same title . Liam Neeson wa excellent a he always is , and most of the cast hold up , with the exception of Owen Wilson , who just did not bring the right feel to the character of Luke . But the major fault with this version is that it strayed too far from the Shirley Jackson story in it 's attempt to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effect . Again I will say that in and of itself it is not a bad film . But you will enjoy the friction of terror in the older version much more .",1
"This movie made it into one of my top 10 most awful movie . Horrible . There wa n't a continuous minute where there wa n't a fight with one monster or another . There wa no chance for any character development , they were too busy running from one sword fight to another . I had no emotional attachment ( except to the big bad machine that wanted to destroy them ) Scenes were blatantly stolen from other movie , LOTR , Star Wars and Matrix . Examples > The ghost scene at the end wa stolen from the final scene of the old Star Wars with Yoda , Obee One and Vader . > The spider machine in the beginning wa exactly like Frodo being attacked by the spider in Return of the Kings . ( Elijah Wood is the victim in both film ) and wait ...... it hypnotizes ( sting ) it victim and wrap them up ..... uh hello ? ? ? ? > And the whole machine vs. human theme WAS the Matrix .. or Terminator ..... There are more example but why waste the time ? And will someone tell me what wa with the Nazi 's ? ! ? ! Nazi 's ? ? ? ? There wa a juvenile story line rushed to a juvenile conclusion . The movie could not decide if it wa a child 's movie or an adult movie and wa n't much of either . Just awful . A real disappointment to say the least . Save your money .",0
"I remember this film , it wa the first film i had watched at the cinema the picture wa dark in place i wa very nervous it wa back in 74/75 my Dad took me my brother & sister to Newbury cinema in Newbury Berkshire England . I recall the tiger and the lot of snow in the film also the appearance of Grizzly Adams actor Dan Haggery i think one of the tiger get shot and dy . If anyone know where to find this on DVD etc please let me know.The cinema now ha been turned in a fitness club which is a very big shame a the nearest cinema now is 20 mile away , would love to hear from others who have seen this film or any other like it .",1
"An awful film ! It must have been up against some real stinker to be nominated for the Golden Globe . They 've taken the story of the first famous female Renaissance painter and mangled it beyond recognition . My complaint is not that they 've taken liberty with the fact ; if the story were good , that would perfectly fine . But it 's simply bizarre -- by all account the true story of this artist would have made for a far better film , so why did they come up with this dishwater-dull script ? I suppose there were n't enough naked people in the factual version . It 's hurriedly capped off in the end with a summary of the artist 's life -- we could have saved ourselves a couple of hour if they 'd favored the rest of the film with same brevity .",0
"After the success of Die Hard and it 's sequel it 's no surprise really that in the 1990s , a glut of 'Die Hard on a ..... ' movie cashed in on the wrong guy , wrong place , wrong time concept . That is what they did with Cliffhanger , Die Hard on a mountain just in time to rescue Sly 'Stop or My Mom Will Shoot ' Stallone 's career . Cliffhanger is one big nit-pickers dream , especially to those who are expert at mountain climbing , base-jumping , aviation , facial expression , acting skill . All in all it 's full of excuse to dismiss the film a one overblown pile of junk . Stallone even managed to get out-acted by a horse ! However , if you an forget all the nonsense , it 's actually a very lovable and undeniably entertaining romp that delivers a plenty of thrill , and unintentionally , plenty of laugh . You 've got to love John Lithgows sneery evilness , his tick every box band of baddie , and best of all , the permanently harassed and hapless 'turncoat ' agent , Rex Linn a Travers . He may of been Henry in 'Portrait of a Serial Killer ' but Michael Rooker is noteworthy for a cringe-worthy performance a Hal , he insists on constantly shrieking in painful disbelief at his captor 'that man never hurt anybody ' And whilst he surely ca n't be , it really doe look like Ralph Waite 's Frank character is grinning a the girl plummet to her death . Mention too must go to former 'London 's Burning ' actor Craig Fairbrass a the Brit bad guy , who come a cropper whilst using Hal a a Human Football , yes , you ca n't help enjoy that bit , Hal needed a good kicking . So forget your better judgement , who care if 'that could never happen ' , lower your acting expectation , turn up the volume and enjoy ! And if you 're looking for Qaulen , he 's the one wearing the helicopter .",1
"I had the terrible misfortune of having to view this `` b-movie '' in it 's entirety . All I have to say is -- - save your time and money ! ! ! This ha got to be the worst b-movie of all time , it should n't even be called a b-movie , more like an f-movie ! Because it fails in all aspect that make a good movie : the story is not interesting at all , all of the actor are paper-thin and not at all believable , it ha bad direction and the action sequence are so fake it 's almost funny ....... almost . The movie is just packed full of crappy one-liner that no respectable person could find amusing in the least little bit . This movie is supposed to be geared towards men , but all the woman in it are SO utterly unattractive , especially that old wrinkled thing that come in towards the end . They try to appear sexy in those weird , horrible costume and they fail miserably ! ! ! Even some of the most ridiculous b-movies will still give you some laugh , but this is just too painful to watch ! !",0
"What an absolutely stunning movie , if you have 2.5 hr to kill , watch it , you wo n't regret it , it 's too much fun ! Rajnikanth carry the movie on his shoulder and although there is n't anything more other than him , I still liked it . The music by A.R.Rehman take time to grow on you but after you heard it a few time , you really start liking it .",1
"First of all , let 's get a few thing straight here : a ) I AM an anime fan- always ha been a a matter of fact ( I used to watch Speed Racer all the time in Preschool ) . b ) I DO like several B-Movies because they 're hilarious . c ) I like the Godzilla movies- a lot . Moving on , when the movie first come on , it seems like it 's going to be your usual B-movie , down to the crappy FX , but all a sudden- BOOM ! the anime come on ! This is when the movie go WWWAAAAAYYYYY downhill . The animation is VERY bad & cheap , even worse than what I remember from SPEED RACER , for crissakes ! In fact , it 's so cheap , one of the few scene from the movie I `` vividly '' remember is when a bunch of kid run out of a school ... & it 's the same kid over & over again ! The FX are terrible , too ; the dinosaur look worse than Godzilla . In addition , the transition to live action to animation is unorganized , the dialogue & voice ( especially the English dub that I viewed ) wa horrid & I wa begging my dad to take the tape out of the DVD/ VHS player ; The only thing that kept me surviving wa cracking out joke & comment like the robot & Joel/Mike on MST3K ( you pick the season ) . Honestly , this is the only way to barely enjoy this movie & survive it at the same time . Heck , I 'm planning to show this to another fellow otaku pal of mine on Halloween for a B-Movie night . Because it 's stupid , pretty painful to watch & unintentionally hilarious at the same time , I 'm giving this movie a 3/10 , an improvement from the 0.5/10 I wa originally going to give it . ( According to my grading scale : 3/10 mean Pretty much both boring & bad . As fun a counting to three unless you find a way to make fun of it , then it will become a fun a counting to 15 . )",0
This wa the worst movie I saw at WorldFest and it also received the least amount of applause afterwards ! I can only think it is receiving such recognition based on the amount of known actor in the film . It 's great to see J.Beals but she 's only in the movie for a few minute . M.Parker is a much better actress than the part allowed for . The rest of the acting is hard to judge because the movie is so ridiculous and predictable . The main character is totally unsympathetic and therefore a bore to watch . There is no real emotional depth to the story . A movie revolving about an actor who ca n't get work doe n't feel very original to me . Nor doe the development of the cop . It feel like one of many straight-to-video movie I saw back in the 90 ... And not even a good one in those standard .,0
"The Karen Carpenter Story show a little more about singer Karen Carpenter 's complex life . Though it fails in giving accurate fact , and detail . Cynthia Gibb ( portrays Karen ) wa not a fine election . She is a good actress , but play a very naive and sort of dumb Karen Carpenter . I think that the role needed a stronger character . Someone with a stronger personality . Louise Fletcher role a Agnes Carpenter is terrific , she doe a great job a Karen 's mother . It ha great song , which could have been included in a soundtrack album . Unfortunately they were n't , though this movie wa on the top of the rating in USA and other several country",1
"`` The Cell '' is an exotic masterpiece , a dizzying trip into not only the vast mind of a serial killer , but also into one of a very talented director . This is conclusive evidence of what can be achieved if human being unleash their uninhibited imagination . This is boldness at work , pushing aside thought to fall into formula and cliche and creating something truly magnificent . This is the best movie of the year to date . I 've read numerous complaint about this film , anywhere from all style and no substance to poorly cast character and bad acting . To negatively criticize this film is to miss the point . This movie may be a landmark , a tradition where future movie will hopefully follow . `` The Cell '' ha just opened the door to another world of imagination . So can we slam the door in it face and tell it and it director Tarsem Singh that we do n't want any more ? Personally , I would more than welcome another movie by Tarsem , and would love to see someone try to challenge him . We 've all heard talk about going inside the mind of a serial killer , and yes , I do agree that the `` genre '' is a bit overworked . The 90 were full of movie trying to depict what make serial killer tick ; some of them worked , but most failed . But `` The Cell '' doe not blaze down the same trail , we are given a new twist , we are physically transported into the mind and presented with nothing le than a fascinating journey of the most mysterious subject matter ever studied . I like how the movie doe not bog u down with too much scientific jargon trying to explain how Jennifer Lopez actually get to enter the brain of another . Instead , she just lie down on a laboratory table and is wrapped with what look like really long Twizzlers and jaunted into another entity . `` The Cell '' want to let you `` see '' what it 's all about and not `` how '' it 's all about , and I guess that 's what some people do n't like . True , I do like explanation with my movie , but when a movie venture onto new ground you must let it do what it desire and simply take it in . I noticed how the film wa very dark when it showed reality , maybe to contrast the bright visuals when inside the brain of another . Nonetheless , the set design wa simply astonishing . I would n't be surprised if this film took home a few Oscars in cinematography , best costume , best director and the like . If it were up to me it 'd at least get nominated for best picture . I 've noticed that I 've kind of been repeating myself . Not because there 's nothing else to say , but because I ca n't stress enough how fantastic I thought `` The Cell '' wa . If you walk into the movie with a very open mind and to have it taken over with wonder and an eye-popping feast then you are assured a good time . I guess this film wa just a little too much for some people , writing it off a `` weird '' or `` crazy '' . I am very much into psychology and the imagination of the human mind , so it wa right down my alley . Leaving the theater , I heard one audience member say `` Whoever made that movie sure did a lot of good drug . '' If so , I want what he wa smoking . * * * * ( out of 4 )",1
"This film tried to be too many thing all at once : stinging political satire , Hollywood blockbuster , sappy romantic comedy , family value promo ... the list go on and on . It failed miserably at all of them , but there wa enough interest to keep me from turning it off until the end . Although I appreciate the spirit behind WAR , INC. , it depresses me to see such a clumsy effort , especially when it will be taken by it target to reflect the lack of the existence of a serious critique , rather than simply the poor writing , direction , and production of this particular film . There is a critique to be made about the corporatization of war . But poking fun at it in this way diminishes the true atrocity of what is happening . Reminds me a bit of THREE KINGS , which similarly trivializes a genuine cause for concern .",0
"This movie wa so frustrating . Everything seemed energetic and I wa totally prepared to have a good time . I at least thought I 'd be able to stand it . But , I wa wrong . First , the weird looping ? It wa like watching `` America 's Funniest Home Videos '' . The damn parent . I hated them so much . The stereo-typical Latino family ? I need to speak with the person responsible for this . We need to have a talk . That little girl who wa always hanging on someone ? I just hated her and had to mention it . Now , the final scene transcends , I must say . It 's so gloriously bad and full of badness that it is a movie of it own . What crappy dancing . Horrible and beautiful at once .",0
"'War movie ' is a Hollywood genre that ha been done and redone so many time that clichéd dialogue , rehashed plot and over-the-top action sequence seem unavoidable for any conflict dealing with large-scale combat . Once in a while , however , a war movie come along that go against the grain and brings a truly original and compelling story to life on the silver screen . The Civil War-era `` Cold Mountain , '' starring Jude Law , Nicole Kidman and Renée Zellweger is such a film . Then again , calling Cold Mountain '' a war movie is not entirely accurate . True enough , the film open with a ( quite literally ) quick-and-dirty battle sequence that put `` Glory '' director Edward Zwick shame . However , `` Cold Mountain '' is not so much about the Civil War itself a it is about the period and the people of the time . The story center around disgruntled Confederate soldier Inman , played by Jude Law , who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of Cold Mountain , North Carolina and the equally beautiful southern belle he left behind , Ada Monroe , played by Nicole Kidman . At first glance , this setup appears formulaic a the romantic interest back home give the audience enough sympathy to root for the reluctant soldier 's tribulation on the battlefield . Indeed , the earlier segment of the film are relatively unimpressive and even somewhat contrived . `` Cold Mountain '' soon take a drastic turn , though , a the intrepid hero Inman turn out to be a deserter ( incidentally saving the audience from the potentially confusing scenario of wanting to root for the Confederates ) and begin a long odyssey homeward . Meanwhile , back at the farm , Ada 's cultured way prove of little use in the field ; soon she is transformed into something of a wilderbeast . Coming to Ada 's rescue is the course , tough-as-nails Ruby Thewes , played by Renée Zellweger , who help Ada put the farm back together and , perhaps more importantly , cope with the loneliness and isolation the war seems to have brought upon Ada . Within these two setting , a vivid , compelling and , at time , very disturbing portrait of the war-torn South unfolds . The character with whom Inman and Ada interact are surprisingly complex , enhanced by wonderful performance of Brendan Gleeson a Ruby 's deadbeat father , Ray Winstone a an unrepentant southern `` lawman , '' and Natalie Portman a a deeply troubled and isolated young mother . All have been greatly affected and changed by `` the war of Northern aggression , '' mostly for the worse . The dark , pervading anti-war message , accented by an effective , haunting score and chillingly beautiful shot of Virginia and North Carolina , is communicated to the audience not so much by gruesome battle scene a by the scarred land and traumatized people for which the war wa fought . Though the weapon and tactic of war itself have changed much in the past century , it 's hellish effect on the land is timelessly relevant . Director Anthony Minghella manages to maintain this gloomy mood for most of the film , but the atmosphere is unfortunately denigrated by a rather tepid climax that doe little justice to the wonderfully formed character . The love story between Inman and Ada is awkwardly tacked onto the beginning and end of the film , though the inherently distant , abstracted and even absurd nature of their relationship in a way fit the dismal nature of the rest of the plot . Make no mistake , `` Cold Mountain '' ha neither the trait of a feel-good romance nor an inspiring war drama . It is a unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the life of a people torn apart by a war and entirely desperate to be rid of it terrible repercussion altogether .",1
"Taut and organically gripping , Edward Dmytryk 's Crossfire is a distinctive suspense thriller , an unlikely `` message '' movie using the look and device of the noir cycle . Bivouacked in Washington , DC , a company of soldier cope with their restlessness by hanging out in bar . Three of them end up at a stranger 's apartment where Robert Ryan , drunk and belligerent , beat their host ( Sam Levene ) to death because he happens to be Jewish . Police detective Robert Young investigates with the help of Robert Mitchum , who 's assigned to Ryan 's outfit . Suspicion fall on the second of the three ( George Cooper ) , who ha vanished . Ryan slays the third buddy ( Steve Brodie ) to insure his silence before Young close in . Abetted by a superior script by John Paxton , Dmytryk draw precise performance from his three starring Bobs . Ryan , naturally , doe his prototypical Angry White Male ( and to the hilt ) , while Mitchum underplays with his characteristic alert nonchalance ( his role , however , is not central ) ; Young may never have been better . Gloria Grahame give her first fully-fledged rendition of the smart-mouthed , vulnerable tramp , and , a a sad sack who 's leeched into her life , Paul Kelly haunt u in a small , peripheral role that he make memorable . The politically engaged Dmytryk perhaps inevitably succumbs to sermonizing , but it 's pretty much confined to Young 's reminiscence of how his Irish grandfather died at the hand of bigot a century earlier ( thus , incidentally , stretching chronology to the limit ) . At least there 's no attempt to render an explanation , however glib , of why Ryan hate Jews ( and hillbilly and ... ) . Curiously , Crossfire survives even the major change wrought upon it -- the novel it 's based on ( Richard Brooks ' The Brick Foxhole ) dealt with a gay-bashing murder . But homosexuality in 1947 wa still Beyond The Pale . News of the Holocaust had , however , begun to emerge from the ash of Europe , so Hollywood felt emboldened to register it protest against anti-Semitism ( the studio always quaked at the prospect of offending any potential ticket buyer ) . But while the change from homophobia to anti-Semitism work in general , the specific do n't fit so smoothly . The victim 's chatting up a lonesome , drunk young soldier then inviting him back home look odd , even though ( or especially since ) there 's a girlfriend in tow . It raise the question whether this scenario wa retained inadvertently or left in a a discreet tip-off to the original engine generating Ryan 's murderous rage .",1
"`` Ardh Satya '' is one of the finest film ever made in Indian Cinema . Directed by the great director Govind Nihalani , this one is the most successful Hard Hitting Parallel Cinema which also turned out to be a Commercial Success . Even today , Ardh Satya is an inspiration for all leading director of India . The film tell the Real-life Scenario of Mumbai Police of the 70 . Unlike any Police of other city in India , Mumbai Police encompasses a Different system altogether . Govind Nihalani creates a very practical Outlay with real life approach of Mumbai Police Environment . Amongst various Police officer & colleague , the film describes the story of Anand Velankar , a young hot-blooded Cop coming from a poor family . His father is a harsh Police Constable . Anand himself suffers from his father 's ideology & incidence of his father 's Atrocities on his mother . Anand 's approach towards immediate action against crime , is an inert craving for his own Job satisfaction . The film is here revolved in a Plot wherein Anand 's constant effort against crime are trampled by his seniors.This lead to frustration , a he can not achieve the desired Job-satisfaction . Resulting from the frustration , his anger is expressed in excessive violence in the remand room & bar , also turning him to an alcoholic . The Spirit within him is still alive , a he constantly fight the system . He is aware of the system of the Metro , where the Police & Politicians are a inertly associated by far end . His compromise towards unethical practice is negative . Finally he get suspended . The Direction is a master piece & thoroughly hard core . One of the best memorable scene is when Anand break in the Underworld gangster Rama Shetty 's house to arrest him , followed by short conversation which is fantastic . At many scene , the film ha Hair-raising moment . The Practical approach of Script is a major Punch . Alcoholism , Corruption , Political Influence , Courage , Deceptions all are integral part of Mumbai police even today . Those aspect are dealt brilliantly . Finally , the film belongs to the One man show , Om Puri portraying Anand Velankar traversing through all his emotion absolutely brilliantly .",1
"My first exposure to the Templarios & not a good one . I wa excited to find this title among the offering from Anchor Bay Video , which ha brought u other cult classic such a `` Spider Baby '' . The print quality is excellent , but this alone ca n't hide the fact that the film is deadly dull . There 's a thrilling opening sequence in which the villager exact a terrible revenge on the Templars ( & set the whole thing in motion ) , but everything else in the movie is slow , ponderous & , ultimately , unfulfilling . Adding insult to injury : the movie wa dubbed , not subtitled , a promised on the video jacket .",0
